loop time,Output Velocity D1,Futek Torque,V_BUS D1,I_Bus D1,V_q D1,I_q D1,Output Velocity D2,V_BUS D2,I_Bus D2,V_q D2,I_q D2,max_velocity,max_current
0.14585113525390625,0.9849474745421333,0.03080093997009925,24.4,0.15,0.993,2.39,-0.9535315480062353,24.3,0.0,-0.118,1.04,1,1
0.1509075164794922,0.9849474745421333,0.03080093997009925,24.4,0.15,0.993,2.39,-0.9925105679674421,24.3,0.0,-0.147,1.03,1,1
0.15591645240783691,1.0105456369047168,0.03080093997009925,24.4,0.12,0.946,2.04,-0.9925105679674421,24.3,0.0,-0.147,1.03,1,1
0.16089916229248047,1.0140362954087054,0.03080093997009925,24.3,0.11,0.929,1.91,-0.9925105679674421,24.3,0.0,-0.147,1.03,1,1
0.16587185859680176,1.0140362954087054,0.03080093997009925,24.3,0.11,0.929,1.91,-1.0012372142274137,24.3,0.0,-0.157,0.9,1,1
0.1708669662475586,0.9866928037941276,0.03080093997009925,24.4,0.17,1.016,2.66,-0.9541133244235668,24.2,0.0,-0.107,0.89,1,1
0.17586493492126465,0.9663306291875271,0.03080093997009925,24.4,0.17,1.03,2.64,-0.9343329262342978,24.3,0.0,-0.088,0.96,1,1
0.1806635856628418,0.972730169778173,0.03080093997009925,24.3,0.18,1.03,2.75,-0.9395689139902808,24.3,0.0,-0.1,1.05,1,1
0.18575739860534668,0.972730169778173,0.03080093997009925,24.3,0.18,1.03,2.75,-0.9733119461955044,24.3,0.0,-0.126,1.04,1,1
0.19081878662109375,0.9954194500540993,0.03080093997009925,24.4,0.18,1.017,2.75,-0.9733119461955044,24.3,0.0,-0.126,1.04,1,1
0.19568133354187012,0.9878563566287905,0.03080093997009925,24.4,0.18,1.018,2.71,-0.9954194500540993,24.2,0.0,-0.159,1.05,1,1
0.20085787773132324,0.9878563566287905,0.03080093997009925,24.4,0.18,1.018,2.71,-0.9954194500540993,24.2,0.0,-0.159,1.05,1,1
0.2056882381439209,1.002982543479408,0.03080093997009925,24.4,0.15,0.985,2.39,-1.035562022849969,24.3,0.0,-0.155,0.97,1,1
0.21080422401428223,1.002982543479408,0.03080093997009925,24.4,0.15,0.985,2.39,-1.035562022849969,24.3,0.0,-0.135,0.96,1,1
