timestamp (epoch),loop time (s),des current,velocityM (Rad/S),Futek Torque (Nm),v_busM,i_busM,v_qM,i_qM,v_dM,i_dM,accelM,velocityL (Rad/S),v_busL,i_busL,v_qL,i_qL,v_dL,i_dL,accelL
1682011370.6426468,1682011370,14.0,11.853112726710822,17.685709725028236,24.6,-3.04,1.243,-26.77,2.578,-6.75,2341.2082939531015,12.228940292306936,23.3,9.9,11.397,13.54,-0.866,0.47,1468.2933954651517
1682011370.649468,1682011370,14.0,11.900818392932,10.180480683614608,24.8,-3.23,3.057,-20.41,1.644,2.58,1530.0285124064574,12.228940292306936,23.3,9.9,11.397,13.54,-0.866,0.47,1468.2933954651517
1682011370.655242,1682011370,14.0,11.900818392932,16.550675086519977,24.8,-3.23,3.057,-20.41,1.644,2.58,1530.0285124064574,12.022409664154273,23.3,8.62,11.143,12.18,-0.749,-0.36,459.69370197094577
1682011370.6607664,1682011370,14.0,11.847294962537509,17.850714760582278,24.8,-3.15,2.507,-19.3,1.667,-1.53,1667.8242817530684,12.022409664154273,23.3,8.62,11.143,12.18,-0.749,-0.36,459.69370197094577
1682011370.6665776,1682011370,14.0,11.847294962537509,18.605737802056943,24.8,-3.15,2.507,-19.3,1.667,-1.53,1667.8242817530684,12.152727581636515,23.3,10.56,11.068,14.67,-1.075,0.29,1119.8750748433158
1682011370.6720207,1682011370,14.0,11.777481792457735,17.44070224799339,24.8,-2.92,1.346,-28.1,2.924,-5.09,749.6978190046084,11.762355605607118,23.3,10.43,10.509,15.19,-1.138,0.0,2063.962480275294
1682011370.6775916,1682011370,14.0,11.777481792457735,10.820500215460669,24.8,-2.92,1.346,-28.1,2.924,-5.09,749.6978190046084,11.48135759603603,23.5,9.45,10.316,14.19,-1.005,-0.35,2067.8591588150252
1682011370.6822293,1682011370,14.0,11.777481792457735,14.535613591723367,24.8,-2.92,1.346,-28.1,2.924,-5.09,749.6978190046084,11.48135759603603,23.5,9.45,10.316,14.19,-1.005,-0.35,2067.8591588150252
1682011370.68787,1682011370,14.0,11.97354044509843,15.30563709097567,24.8,-3.19,2.845,-17.31,1.34,-0.35,1033.9002055222575,12.22254075171629,23.3,9.83,11.483,13.36,-0.826,0.55,1162.4464652748609
1682011370.6924045,1682011370,14.0,11.97354044509843,19.27575824945828,24.8,-3.19,2.845,-17.31,1.34,-0.35,1033.9002055222575,12.22254075171629,23.3,9.83,11.483,13.36,-0.826,0.55,1162.4464652748609
1682011370.6989493,1682011370,14.0,12.189961272345728,16.900685767998294,24.7,-3.14,1.074,-24.77,2.326,-10.06,2343.726945883327,12.22254075171629,23.2,11.14,10.972,15.5,-1.177,0.4,1193.8207713913334
1682011370.703753,1682011370,14.0,12.189961272345728,18.29572834131902,24.7,-3.14,1.074,-24.77,2.326,-10.06,2343.726945883327,12.22254075171629,23.2,11.14,10.972,15.5,-1.177,0.4,1193.8207713913334
1682011370.709161,1682011370,14.0,12.189961272345728,11.290514559160112,24.7,-3.14,1.074,-24.77,2.326,-10.06,2343.726945883327,11.578514257730381,23.4,9.83,10.362,14.62,-1.038,-0.1,1041.4936770090624
1682011370.713385,1682011370,14.0,12.189961272345728,16.15066287911617,24.7,-3.14,1.074,-24.77,2.326,-10.06,2343.726945883327,11.578514257730381,23.4,9.83,10.362,14.62,-1.038,-0.1,1041.4936770090624
1682011370.7178311,1682011370,14.0,12.189961272345728,14.880624120609125,24.7,-3.14,1.074,-24.77,2.326,-10.06,2343.726945883327,11.578514257730381,23.4,9.83,10.362,14.62,-1.038,-0.1,1041.4936770090624
1682011370.7218707,1682011370,14.0,12.189961272345728,17.65570880947294,24.7,-3.14,1.074,-24.77,2.326,-10.06,2343.726945883327,11.578514257730381,23.4,9.83,10.362,14.62,-1.038,-0.1,1041.4936770090624
1682011370.726502,1682011370,14.0,12.189961272345728,19.60576832056642,24.7,-3.14,1.074,-24.77,2.326,-10.06,2343.726945883327,11.578514257730381,23.4,9.83,10.362,14.62,-1.038,-0.1,1041.4936770090624
1682011370.7307396,1682011370,14.0,11.888601088168041,17.570706215399632,24.7,-2.87,1.127,-25.89,2.912,-6.86,398.9503644201295,11.578514257730381,23.4,9.83,10.362,14.62,-1.038,-0.1,1041.4936770090624
1682011370.7351203,1682011370,14.0,11.888601088168041,12.795560489516882,24.7,-2.87,1.127,-25.89,2.912,-6.86,398.9503644201295,11.578514257730381,23.4,9.83,10.362,14.62,-1.038,-0.1,1041.4936770090624
1682011370.7395768,1682011370,14.0,11.888601088168041,10.445488771019633,24.7,-2.87,1.127,-25.89,2.912,-6.86,398.9503644201295,11.591313338911673,23.6,8.51,10.614,12.65,-0.841,-0.73,369.976423650571
1682011370.7441616,1682011370,14.0,11.979939985689077,15.130631750236514,24.8,-3.31,3.217,-16.62,1.201,1.92,946.9941613595108,11.591313338911673,23.6,8.51,10.614,12.65,-0.841,-0.73,369.976423650571
1682011370.7495294,1682011370,14.0,11.979939985689077,16.065660285042878,24.8,-3.31,3.217,-16.62,1.201,1.92,946.9941613595108,12.37612972589179,23.3,10.18,11.598,13.66,-0.879,0.67,1379.4278763207685
1682011370.7540221,1682011370,14.0,11.979939985689077,19.12075351908932,24.8,-3.31,3.217,-16.62,1.201,1.92,946.9941613595108,12.498884549948725,23.1,10.8,11.454,14.51,-1.068,0.48,2284.474527775324
1682011370.7588763,1682011370,14.0,12.230103845141597,16.755681342814395,24.8,-2.99,1.054,-26.13,2.237,-8.74,738.6144489286219,12.498884549948725,23.1,10.8,11.454,14.51,-1.068,0.48,2284.474527775324
1682011370.7637858,1682011370,14.0,12.230103845141597,18.680740090945154,24.8,-2.99,1.054,-26.13,2.237,-8.74,738.6144489286219,11.965977351673123,23.2,10.03,10.632,14.48,-1.103,-0.33,1307.9575385706241
1682011370.7688882,1682011370,14.0,11.92467122604259,12.74055881099887,24.7,-2.84,1.273,-27.45,2.588,-5.85,1255.9184467174405,11.600039985171644,23.3,10.02,10.364,14.86,-1.058,-0.04,1851.0212710658311
1682011370.7727246,1682011370,14.0,11.764100934859112,13.415579410992748,24.8,-3.24,3.095,-21.96,1.846,3.11,4178.710671365457,11.600039985171644,23.3,10.02,10.364,14.86,-1.058,-0.04,1851.0212710658311
