timestamp (epoch),loop time (s),des velocity,velocity (Rad/S),Futek Torque (Nm),v_bus,i_bus,v_q,i_q
1678923260.0681844,29.999971389770508,14.0,13.957979804615984,-2.042592334971154,24.2,1.55,-2.21,3.67
1678923337.0184813,0.04999995231628418,-14.0,0.0040724349213201025,-0.002530077211826409,24.5,0.0,-0.007,0.0
1678923337.0691063,0.09999990463256836,-14.0,0.0040724349213201025,2.537547439802239,24.5,0.0,-0.007,0.0
1678923337.1190357,0.14999985694885254,-14.0,0.0040724349213201025,0.2224767894528057,24.5,0.0,-0.007,0.0
1678923337.1691544,0.19999980926513672,-14.0,-10.77159036689167,-3.887648641621144,24.4,0.87,-0.839,-3.15
1678923337.2194297,0.2499997615814209,-14.0,-10.77159036689167,-3.1826271260719707,24.4,0.87,-0.839,-3.15
1678923337.2684312,0.2999997138977051,-14.0,-14.157529115760669,-3.6576416223639536,24.5,-0.81,-0.267,2.39
1678923337.3189497,0.34999966621398926,-14.0,-13.971942438631938,-2.8576172075563733,24.6,-0.77,-0.201,2.22
1678923337.3689384,0.39999961853027344,-14.0,-13.971942438631938,-2.1475955394146595,24.6,-0.77,-0.201,2.22
1678923337.4188533,0.4499995708465576,-14.0,-13.971942438631938,-1.1975665468306396,24.6,-0.77,-0.201,2.22
1678923337.4689515,0.4999995231628418,-14.0,-13.971942438631938,-1.98759065645314,24.6,-0.77,-0.201,2.22
1678923337.5189373,0.549999475479126,-14.0,-14.076662193751599,-2.687612019409773,24.5,-0.77,-0.208,2.22
1678923337.56897,0.5999994277954102,-14.0,-14.076662193751599,-2.7576141557054434,24.5,-0.77,-0.208,2.22
1678923337.618562,0.6499993801116943,-14.0,-14.076662193751599,-1.7675839423810478,24.5,-0.77,-0.208,2.22
1678923337.6689055,0.6999993324279785,-14.0,-13.916673678985452,-1.1925663942380993,24.4,-0.78,-0.183,2.26
1678923337.7188802,0.7499992847442627,-14.0,-13.916673678985452,-2.3126005749687017,24.4,-0.78,-0.183,2.26
1678923337.7686641,0.7999992370605469,-14.0,-14.076662193751599,-3.132625600146479,24.6,-0.81,-0.181,2.34
1678923337.8188925,0.849999189376831,-14.0,-14.076662193751599,-3.3926335349589465,24.6,-0.81,-0.181,2.34
1678923337.8687968,0.8999991416931152,-14.0,-13.990559283986546,-2.2575988964506877,24.6,-0.79,-0.174,2.28
1678923337.9186754,0.9499990940093994,-14.0,-13.85965959008697,-2.322600880153818,24.5,-0.8,-0.154,2.31
1678923337.9688349,0.9999990463256836,-14.0,-13.876531106189582,-1.7575836371959677,24.6,-0.77,-0.166,2.26
1678923338.018745,1.0499989986419678,-14.0,-13.876531106189582,-1.542577075716416,24.6,-0.77,-0.166,2.26
1678923338.0687778,1.099998950958252,-14.0,-13.876531106189582,-2.4126036268196493,24.6,-0.77,-0.166,2.26
1678923338.1188674,1.1499989032745361,-14.0,-13.876531106189582,-3.3026307882930968,24.6,-0.77,-0.166,2.26
1678923338.1690142,1.1999988555908203,-14.0,-13.999867706663847,-3.017622090517893,24.5,-0.8,-0.184,2.3
1678923338.2188153,1.2499988079071045,-14.0,-13.936454077174721,-2.1375952342295435,24.5,-0.81,-0.168,2.34
1678923338.2689655,1.2999987602233887,-14.0,-13.936454077174721,-1.8025850105288657,24.5,-0.81,-0.168,2.34
1678923338.3188193,1.3499987125396729,-14.0,-14.083643510759575,-2.632610340891741,24.6,-0.78,-0.179,2.26
1678923338.3686793,1.399998664855957,-14.0,-14.108078120287496,-3.387633382366388,24.6,-0.78,-0.192,2.25
1678923338.4189014,1.4499986171722412,-14.0,-14.108078120287496,-2.6726115616321344,24.6,-0.78,-0.192,2.25
1678923338.4688005,1.4999985694885254,-14.0,-13.907947032725481,-1.8725871468245538,24.5,-0.77,-0.183,2.23
1678923338.5191827,1.5499985218048096,-12.526315789473685,-13.889911963788206,-1.2275674623859345,24.5,-0.78,-0.167,2.26
1678923338.5686185,1.5999984741210938,-12.526315789473685,-13.961470463119973,-2.9376196490371242,24.6,-0.76,-0.19,2.22
1678923338.618929,1.649998426437378,-12.526315789473685,-12.729849787629307,-1.8325859260841606,24.6,-0.76,0.087,3.12
1678923338.669216,1.699998378753662,-12.526315789473685,-12.604767857903047,-1.76258378978849,24.6,-0.82,0.027,2.74
1678923338.7188652,1.7499983310699463,-12.526315789473685,-12.433143814790272,-2.8426167497787347,24.6,-0.74,-0.014,2.41
1678923338.7687027,1.7999982833862305,-12.526315789473685,-12.615821609832345,-2.2825996594134246,24.6,-0.7,-0.049,2.31
1678923338.8187776,1.8499982357025146,-12.526315789473685,-12.486085468767433,-2.462605152745141,24.6,-0.7,-0.052,2.28
1678923338.8690028,1.8999981880187988,-12.526315789473685,-12.486085468767433,-2.0225917246009573,24.6,-0.7,-0.052,2.28
1678923338.919698,1.949998140335083,-12.526315789473685,-12.486085468767433,-2.1975970653401156,24.6,-0.7,-0.052,2.28
1678923338.9685361,1.9999980926513672,-12.526315789473685,-12.564043508689846,-1.4475741764580263,24.6,-0.69,-0.104,2.25
1678923339.0188515,2.0499980449676514,-12.526315789473685,-12.580333248375126,-2.9476199542222403,24.5,-0.7,-0.06,2.3
1678923339.0686002,2.0999979972839355,-12.526315789473685,-12.413945193018334,-2.1475955394146595,24.5,-0.71,-0.016,2.32
1678923339.1188385,2.1499979496002197,-12.526315789473685,-12.413945193018334,-2.5026063734855164,24.5,-0.71,-0.016,2.32
1678923339.1691933,2.199997901916504,-12.526315789473685,-12.413945193018334,-2.55260789941099,24.5,-0.71,-0.016,2.32
1678923339.2187366,2.249997854232788,-12.526315789473685,-12.533791134988611,-1.5875784490493317,24.5,-0.71,-0.065,2.31
1678923339.26871,2.2999978065490723,-12.526315789473685,-12.499466326366056,-3.1576263631092156,24.6,-0.7,-0.039,2.31
1678923339.3188372,2.3499977588653564,-12.526315789473685,-12.499466326366056,-1.7575836371959677,24.6,-0.7,-0.039,2.31
1678923339.3689501,2.3999977111816406,-12.526315789473685,-12.612330951328357,-3.132625600146479,24.5,-0.71,-0.063,2.34
1678923339.4192405,2.449997663497925,-12.526315789473685,-12.416854075104991,-2.4776056105227795,24.6,-0.73,0.001,2.4
1678923339.4692788,2.499997615814209,-12.526315789473685,-12.598950093729734,-2.1675961497848384,24.6,-0.67,-0.088,2.2
1678923339.5184398,2.549997568130493,-12.526315789473685,-12.598950093729734,-3.067623616443367,24.6,-0.67,-0.088,2.2
1678923339.5691674,2.5999975204467773,-12.526315789473685,-12.598950093729734,-2.1125944712668243,24.6,-0.67,-0.088,2.2
1678923339.6183174,2.6499974727630615,-12.526315789473685,-12.598950093729734,-2.432604237189846,24.6,-0.67,-0.088,2.2
